Date,AAPL,AMZN,KO,MSFT,NKE
"2012-04-26",21.703571,195.990005,37.855,32.110001,27.5875
"2012-04-27",21.535715,226.850006,38.314999,31.98,27.66
"2012-04-30",20.856428,231.899994,38.16,32.02,27.967501
"2012-05-01",20.790358,230.039993,38.465,32.009998,27.825001
"2012-05-02",20.927856,230.25,38.580002,31.799999,28.57
"2012-05-03",20.779285,229.449997,38.720001,31.76,28.6
"2012-05-04",20.1875,223.990005,38.5,30.98,27.952499
"2012-05-07",20.338572,225.160004,38.639999,30.65,27.855
"2012-05-08",20.292143,223.899994,38.57,30.5,27.182501
"2012-05-09",20.327858,222.979996,38.389999,30.76,27.0375
"2012-05-10",20.375713,226.690002,38.705002,30.74,26.889999
"2012-05-11",20.239643,227.679993,38.735001,31.16,27.065001
"2012-05-14",19.936428,222.929993,38.435001,30.68,26.8675
"2012-05-15",19.756071,224.389999,38.285,30.209999,26.805
"2012-05-16",19.502857,224.059998,38.165001,29.9,26.75
"2012-05-17",18.932858,218.360001,37.560001,29.719999,26.084999
"2012-05-18",18.942142,213.850006,37.025002,29.27,26.360001
"2012-05-21",20.045713,218.110001,37.255001,29.75,26.807501
"2012-05-22",19.891787,215.330002,37.095001,29.76,27.112499
"2012-05-23",20.377142,217.279999,37.275002,29.110001,26.879999
"2012-05-24",20.190001,215.240005,37.779999,29.07,26.870001
"2012-05-25",20.081785,212.889999,37.615002,29.059999,27.1975
"2012-05-29",20.438213,214.75,37.73,29.559999,27.73
"2012-05-30",20.684643,209.229996,37.529999,29.34,27.1525
"2012-05-31",20.633215,212.910004,37.365002,29.190001,27.045
"2012-06-01",20.035357,208.220001,36.544998,28.450001,26.15
"2012-06-04",20.153214,214.570007,36.82,28.549999,26.174999
"2012-06-05",20.101072,213.210007,36.619999,28.51,26.377501
"2012-06-06",20.409286,217.639999,37.305,29.35,26.7675
"2012-06-07",20.418571,218.800003,37.139999,29.23,26.84
"2012-06-08",20.725714,218.479996,37.619999,29.65,27.16
"2012-06-11",20.398928,216.5,37.330002,28.9,26.865
"2012-06-12",20.577143,216.419998,37.599998,29.290001,26.9
"2012-06-13",20.434286,214.729996,37.345001,29.129999,25.555
"2012-06-14",20.411785,214.449997,37.869999,29.34,25.004999
